State,City,Water Source,Pollutant Type,Pollution Level,pH,Dissolved Oxygen,Temperature,Year,Safe Limit
Gujarat,Vadodara,Well,Mercury,Severe,5.94,8.15,20.9,2019,No
Punjab,Ludhiana,Canal,Chromium,Medium,5.22,6.85,18.6,2017,No
Karnataka,Bengaluru,Lake,Lead,Medium,5.23,2.83,24.0,2019,Yes
Delhi,Dwarka,Canal,Industrial Waste,Medium,6.81,8.12,15.8,2024,No
Assam,Silchar,Reservoir,Industrial Waste,Low,7.85,5.39,33.3,2023,No
Haryana,Faridabad,Canal,Nitrate,Low,7.16,10.87,25.8,2015,Yes
Assam,Dibrugarh,Lake,Plastic Waste,Low,8.62,6.5,19.3,2016,No
Odisha,Sambalpur,Lake,Arsenic,Medium,7.8,4.74,11.0,2024,Yes
Uttar Pradesh,Noida,Groundwater,Sewage,Medium,7.39,6.89,35.0,2024,No
Madhya Pradesh,Bhopal,Lake,Plastic Waste,Low,6.99,5.66,29.8,2019,Yes
Gujarat,Rajkot,Well,Cadmium,Medium,7.65,3.61,27.8,2021,No
Rajasthan,Kota,Borewell,Fluoride,Medium,7.41,5.65,24.2,2021,No
Haryana,Faridabad,Borewell,Nan,Medium,7.8,5.13,22.5,2022,Yes
Madhya Pradesh,Bhopal,Pond,Arsenic,Low,6.1,3.96,18.0,2016,No
Madhya Pradesh,Indore,Lake,Sewage,Low,7.11,3.75,30.0,2022,Yes
Uttar Pradesh,Kanpur,Borewell,Nitrate,Severe,6.78,7.28,20.4,2022,Yes
Rajasthan,Jodhpur,Well,Nitrate,High,8.89,5.56,17.1,2017,No
Bihar,Gaya,Pond,Industrial Waste,Nan,6.32,5.09,19.4,2016,Yes
Madhya Pradesh,Indore,River,Industrial Waste,Severe,7.25,7.65,21.0,2019,No
Uttar Pradesh,Noida,Reservoir,Arsenic,Medium,7.81,4.63,24.7,2020,Yes
Haryana,Faridabad,Canal,Chromium,Medium,7.09,4.3,12.8,2019,Yes
Uttar Pradesh,Noida,Groundwater,Nitrate,High,5.95,8.55,33.5,2020,No
Delhi,New Delhi,Canal,Mercury,High,7.14,4.78,24.6,2020,Yes
Odisha,Sambalpur,Lake,Sewage,Low,6.72,6.07,26.2,2016,No
Gujarat,Bhavnagar,River,Mercury,Severe,6.98,6.63,32.3,2018,Yes
Bihar,Darbhanga,Well,Fluoride,Low,4.76,4.32,26.3,2023,Yes
Rajasthan,Bikaner,Well,Nitrate,Medium,6.99,6.58,27.3,2017,No
Maharashtra,Nashik,Pond,Pesticides,Low,5.83,6.99,24.2,2018,No
Tamil Nadu,Madurai,Reservoir,Chromium,High,6.7,6.77,36.5,2019,Yes
Uttar Pradesh,Lucknow,Canal,Lead,Low,6.83,7.36,31.3,2016,No
Assam,Guwahati,Lake,Arsenic,Medium,6.52,6.9,16.7,2017,Yes
Assam,Silchar,Borewell,Arsenic,Severe,7.58,4.45,36.3,2018,No
Punjab,Patiala,Reservoir,Arsenic,Medium,6.98,3.74,23.8,2020,No
Tamil Nadu,Trichy,Well,Sewage,Severe,8.38,7.52,21.7,2021,No
Karnataka,Bengaluru,Lake,Nan,Severe,5.0,5.43,22.8,2016,No
Assam,Nagaon,River,Industrial Waste,Severe,5.35,5.43,24.7,2017,No
Bihar,Darbhanga,Canal,Arsenic,Medium,5.7,1.37,21.2,2021,No
Karnataka,Mysuru,River,Mercury,Low,7.45,6.45,14.5,2017,Yes
Tamil Nadu,Salem,Reservoir,Sewage,High,6.59,4.25,18.2,2018,No
Kerala,Kozhikode,Groundwater,Plastic Waste,Severe,7.96,10.01,21.7,2018,No
Delhi,Saket,Groundwater,Arsenic,Severe,6.78,5.37,27.1,2016,No
Haryana,Ambala,Pond,Pesticides,Low,6.96,5.47,27.4,2017,No
Haryana,Karnal,Well,Chromium,High,7.62,5.25,29.8,2018,No
Maharashtra,Pune,Canal,Fluoride,Severe,6.45,5.43,21.9,2019,No
Haryana,Karnal,Lake,Arsenic,High,9.64,3.65,15.4,2019,Yes
Rajasthan,Jaipur,Pond,Pesticides,Medium,5.54,8.9,23.2,2018,Yes
Kerala,Kochi,Groundwater,Sewage,Medium,5.08,11.0,29.3,2018,Nan
Haryana,Panipat,Canal,Industrial Waste,Nan,8.62,6.77,22.8,2018,Yes
Punjab,Patiala,Borewell,Lead,Medium,7.28,3.47,18.2,2016,No
Rajasthan,Jaipur,Well,Lead,Medium,8.03,3.67,24.3,2021,Yes
Bihar,Darbhanga,River,Sewage,Severe,6.04,2.7,28.1,2015,Yes
Rajasthan,Udaipur,Canal,Sewage,High,8.05,3.38,26.4,2015,Yes
Gujarat,Bhavnagar,Canal,Sewage,Low,8.51,4.5,26.8,2016,Yes
West Bengal,Asansol,Lake,Nitrate,Low,6.89,6.09,24.4,2017,Yes
Delhi,Saket,Reservoir,Industrial Waste,High,5.9,5.56,20.2,2015,Yes
Gujarat,Ahmedabad,River,Lead,Low,6.41,2.2,26.6,2023,No
Uttar Pradesh,Varanasi,Lake,Fluoride,Low,7.17,4.32,22.7,2019,Yes
Delhi,Dwarka,Reservoir,Lead,Medium,7.9,4.14,16.9,2015,Yes
Odisha,Berhampur,Well,Plastic Waste,Low,6.7,2.93,26.0,2016,Yes
Rajasthan,Bikaner,River,Pesticides,High,7.05,3.11,26.8,2024,Yes
Karnataka,Bengaluru,Canal,Lead,Severe,7.35,5.33,21.4,2016,Yes
Tamil Nadu,Coimbatore,Pond,Nitrate,Severe,8.87,6.19,26.2,2022,Yes
West Bengal,Siliguri,Groundwater,Nitrate,Medium,8.2,6.97,19.4,2019,No
